5533      // Pattern 0, Central1 = 5 + 5 i,  Central2 = 3 + 3 i 
4624      // Pattern 1, Central1 = 4 + 6 i,  Central2 = 2 + 4 i 
7616      // Pattern 2, Central1 = 7 + 6 i,  Central2 = 1 + 6 i 
6392      // Pattern 3, Central1 = 6 + 3 i,  Central2 = 9 + 2 i 
9050      // Pattern 4, Central1 = 9 + 0 i,  Central2 = 5 + 0 i 
6758      // Pattern 5, Central1 = 6 + 7 i,  Central2 = 5 + 8 i 
0169      // Pattern 6, Central1 = 0 + 1 i,  Central2 = 6 + 9 i 
9736      // Pattern 7, Central1 = 9 + 7 i,  Central2 = 3 + 6 i 
7334      // Pattern 8, Central1 = 7 + 3 i,  Central2 = 3 + 4 i 
8584      // Pattern 9, Central1 = 8 + 5 i,  Central2 = 8 + 4 i 
3744      // Pattern 10, Central1 = 3 + 7 i,  Central2 = 4 + 4 i 
9051      // Pattern 11, Central1 = 9 + 0 i,  Central2 = 5 + 1 i 
9764      // Pattern 12, Central1 = 9 + 7 i,  Central2 = 6 + 4 i 
2796      // Pattern 13, Central1 = 2 + 7 i,  Central2 = 9 + 6 i 
7459      // Pattern 14, Central1 = 7 + 4 i,  Central2 = 5 + 9 i 
6562      // Pattern 15, Central1 = 6 + 5 i,  Central2 = 6 + 2 i 
9353      // Pattern 16, Central1 = 9 + 3 i,  Central2 = 5 + 3 i 
6192      // Pattern 17, Central1 = 6 + 1 i,  Central2 = 9 + 2 i 
7382      // Pattern 18, Central1 = 7 + 3 i,  Central2 = 8 + 2 i 
7911      // Pattern 19, Central1 = 7 + 9 i,  Central2 = 1 + 1 i 
3210      // Pattern 20, Central1 = 3 + 2 i,  Central2 = 1 + 0 i 
2324      // Pattern 21, Central1 = 2 + 3 i,  Central2 = 2 + 4 i 
0372      // Pattern 22, Central1 = 0 + 3 i,  Central2 = 7 + 2 i 
4018      // Pattern 23, Central1 = 4 + 0 i,  Central2 = 1 + 8 i 
6595      // Pattern 24, Central1 = 6 + 5 i,  Central2 = 9 + 5 i 
2879      // Pattern 25, Central1 = 2 + 8 i,  Central2 = 7 + 9 i 
5919      // Pattern 26, Central1 = 5 + 9 i,  Central2 = 1 + 9 i 
2785      // Pattern 27, Central1 = 2 + 7 i,  Central2 = 8 + 5 i 
2391      // Pattern 28, Central1 = 2 + 3 i,  Central2 = 9 + 1 i 
6299      // Pattern 29, Central1 = 6 + 2 i,  Central2 = 9 + 9 i 
8655      // Pattern 30, Central1 = 8 + 6 i,  Central2 = 5 + 5 i 
8858      // Pattern 31, Central1 = 8 + 8 i,  Central2 = 5 + 8 i 
2914      // Pattern 32, Central1 = 2 + 9 i,  Central2 = 1 + 4 i 
3056      // Pattern 33, Central1 = 3 + 0 i,  Central2 = 5 + 6 i 
8450      // Pattern 34, Central1 = 8 + 4 i,  Central2 = 5 + 0 i 
2119      // Pattern 35, Central1 = 2 + 1 i,  Central2 = 1 + 9 i 
9246      // Pattern 36, Central1 = 9 + 2 i,  Central2 = 4 + 6 i 
6851      // Pattern 37, Central1 = 6 + 8 i,  Central2 = 5 + 1 i 
1117      // Pattern 38, Central1 = 1 + 1 i,  Central2 = 1 + 7 i 
8163      // Pattern 39, Central1 = 8 + 1 i,  Central2 = 6 + 3 i 
6500      // Pattern 40, Central1 = 6 + 5 i,  Central2 = 0 + 0 i 
5332      // Pattern 41, Central1 = 5 + 3 i,  Central2 = 3 + 2 i 
2352      // Pattern 42, Central1 = 2 + 3 i,  Central2 = 5 + 2 i 
0732      // Pattern 43, Central1 = 0 + 7 i,  Central2 = 3 + 2 i 
2867      // Pattern 44, Central1 = 2 + 8 i,  Central2 = 6 + 7 i 
3637      // Pattern 45, Central1 = 3 + 6 i,  Central2 = 3 + 7 i 
6415      // Pattern 46, Central1 = 6 + 4 i,  Central2 = 1 + 5 i 
9695      // Pattern 47, Central1 = 9 + 6 i,  Central2 = 9 + 5 i 
2266      // Pattern 48, Central1 = 2 + 2 i,  Central2 = 6 + 6 i 
7669      // Pattern 49, Central1 = 7 + 6 i,  Central2 = 6 + 9 i 
8666      // Pattern 50, Central1 = 8 + 6 i,  Central2 = 6 + 6 i 
4676      // Pattern 51, Central1 = 4 + 6 i,  Central2 = 7 + 6 i 
1389      // Pattern 52, Central1 = 1 + 3 i,  Central2 = 8 + 9 i 
8355      // Pattern 53, Central1 = 8 + 3 i,  Central2 = 5 + 5 i 
4113      // Pattern 54, Central1 = 4 + 1 i,  Central2 = 1 + 3 i 
1739      // Pattern 55, Central1 = 1 + 7 i,  Central2 = 3 + 9 i 
8484      // Pattern 56, Central1 = 8 + 4 i,  Central2 = 8 + 4 i 
6316      // Pattern 57, Central1 = 6 + 3 i,  Central2 = 1 + 6 i 
0737      // Pattern 58, Central1 = 0 + 7 i,  Central2 = 3 + 7 i 
9296      // Pattern 59, Central1 = 9 + 2 i,  Central2 = 9 + 6 i 
0882      // Pattern 60, Central1 = 0 + 8 i,  Central2 = 8 + 2 i 
0820      // Pattern 61, Central1 = 0 + 8 i,  Central2 = 2 + 0 i 
9892      // Pattern 62, Central1 = 9 + 8 i,  Central2 = 9 + 2 i 
6308      // Pattern 63, Central1 = 6 + 3 i,  Central2 = 0 + 8 i 
