33      // Pattern 0, Radius1 = 3,  Radius2 = 3  
22      // Pattern 1, Radius1 = 2,  Radius2 = 2  
22      // Pattern 2, Radius1 = 2,  Radius2 = 2  
32      // Pattern 3, Radius1 = 3,  Radius2 = 2  
26      // Pattern 4, Radius1 = 2,  Radius2 = 6  
22      // Pattern 5, Radius1 = 2,  Radius2 = 2  
55      // Pattern 6, Radius1 = 5,  Radius2 = 5  
44      // Pattern 7, Radius1 = 4,  Radius2 = 4  
22      // Pattern 8, Radius1 = 2,  Radius2 = 2  
22      // Pattern 9, Radius1 = 2,  Radius2 = 2  
22      // Pattern 10, Radius1 = 2,  Radius2 = 2  
23      // Pattern 11, Radius1 = 2,  Radius2 = 3  
22      // Pattern 12, Radius1 = 2,  Radius2 = 2  
22      // Pattern 13, Radius1 = 2,  Radius2 = 2  
23      // Pattern 14, Radius1 = 2,  Radius2 = 3  
23      // Pattern 15, Radius1 = 2,  Radius2 = 3  
22      // Pattern 16, Radius1 = 2,  Radius2 = 2  
23      // Pattern 17, Radius1 = 2,  Radius2 = 3  
22      // Pattern 18, Radius1 = 2,  Radius2 = 2  
22      // Pattern 19, Radius1 = 2,  Radius2 = 2  
22      // Pattern 20, Radius1 = 2,  Radius2 = 2  
22      // Pattern 21, Radius1 = 2,  Radius2 = 2  
22      // Pattern 22, Radius1 = 2,  Radius2 = 2  
23      // Pattern 23, Radius1 = 2,  Radius2 = 3  
22      // Pattern 24, Radius1 = 2,  Radius2 = 2  
23      // Pattern 25, Radius1 = 2,  Radius2 = 3  
23      // Pattern 26, Radius1 = 2,  Radius2 = 3  
23      // Pattern 27, Radius1 = 2,  Radius2 = 3  
23      // Pattern 28, Radius1 = 2,  Radius2 = 3  
23      // Pattern 29, Radius1 = 2,  Radius2 = 3  
22      // Pattern 30, Radius1 = 2,  Radius2 = 2  
23      // Pattern 31, Radius1 = 2,  Radius2 = 3  
23      // Pattern 32, Radius1 = 2,  Radius2 = 3  
22      // Pattern 33, Radius1 = 2,  Radius2 = 2  
23      // Pattern 34, Radius1 = 2,  Radius2 = 3  
23      // Pattern 35, Radius1 = 2,  Radius2 = 3  
23      // Pattern 36, Radius1 = 2,  Radius2 = 3  
22      // Pattern 37, Radius1 = 2,  Radius2 = 2  
23      // Pattern 38, Radius1 = 2,  Radius2 = 3  
23      // Pattern 39, Radius1 = 2,  Radius2 = 3  
22      // Pattern 40, Radius1 = 2,  Radius2 = 2  
22      // Pattern 41, Radius1 = 2,  Radius2 = 2  
23      // Pattern 42, Radius1 = 2,  Radius2 = 3  
23      // Pattern 43, Radius1 = 2,  Radius2 = 3  
22      // Pattern 44, Radius1 = 2,  Radius2 = 2  
22      // Pattern 45, Radius1 = 2,  Radius2 = 2  
22      // Pattern 46, Radius1 = 2,  Radius2 = 2  
23      // Pattern 47, Radius1 = 2,  Radius2 = 3  
22      // Pattern 48, Radius1 = 2,  Radius2 = 2  
23      // Pattern 49, Radius1 = 2,  Radius2 = 3  
22      // Pattern 50, Radius1 = 2,  Radius2 = 2  
23      // Pattern 51, Radius1 = 2,  Radius2 = 3  
22      // Pattern 52, Radius1 = 2,  Radius2 = 2  
23      // Pattern 53, Radius1 = 2,  Radius2 = 3  
22      // Pattern 54, Radius1 = 2,  Radius2 = 2  
23      // Pattern 55, Radius1 = 2,  Radius2 = 3  
23      // Pattern 56, Radius1 = 2,  Radius2 = 3  
22      // Pattern 57, Radius1 = 2,  Radius2 = 2  
22      // Pattern 58, Radius1 = 2,  Radius2 = 2  
23      // Pattern 59, Radius1 = 2,  Radius2 = 3  
22      // Pattern 60, Radius1 = 2,  Radius2 = 2  
22      // Pattern 61, Radius1 = 2,  Radius2 = 2  
22      // Pattern 62, Radius1 = 2,  Radius2 = 2  
22      // Pattern 63, Radius1 = 2,  Radius2 = 2  
