D      // Result 0, the length of candidate_united = 13    
3      // Result 1, the length of candidate_united = 3    
0      // Result 2, the length of candidate_united = 0    
5      // Result 3, the length of candidate_united = 5    
6      // Result 4, the length of candidate_united = 6    
8      // Result 5, the length of candidate_united = 8    
1      // Result 6, the length of candidate_united = 1    
6      // Result 7, the length of candidate_united = 6    
0      // Result 8, the length of candidate_united = 0    
8      // Result 9, the length of candidate_united = 8    
2      // Result 10, the length of candidate_united = 2    
2      // Result 11, the length of candidate_united = 2    
0      // Result 12, the length of candidate_united = 0    
0      // Result 13, the length of candidate_united = 0    
0      // Result 14, the length of candidate_united = 0    
5      // Result 15, the length of candidate_united = 5    
1      // Result 16, the length of candidate_united = 1    
5      // Result 17, the length of candidate_united = 5    
8      // Result 18, the length of candidate_united = 8    
0      // Result 19, the length of candidate_united = 0    
3      // Result 20, the length of candidate_united = 3   
8      // Result 21, the length of candidate_united = 8    
0      // Result 22, the length of candidate_united = 0    
0      // Result 23, the length of candidate_united = 0    
2      // Result 24, the length of candidate_united = 2    
0      // Result 25, the length of candidate_united = 0    
2      // Result 26, the length of candidate_united = 2    
0      // Result 27, the length of candidate_united = 0    
0      // Result 28, the length of candidate_united = 0    
0      // Result 29, the length of candidate_united = 0    
2      // Result 30, the length of candidate_united = 2    
5      // Result 31, the length of candidate_united = 5    
0      // Result 32, the length of candidate_united = 0    
0      // Result 33, the length of candidate_united = 0    
0      // Result 34, the length of candidate_united = 0    
0      // Result 35, the length of candidate_united = 0    
0      // Result 36, the length of candidate_united = 0    
0      // Result 37, the length of candidate_united = 0    
0      // Result 38, the length of candidate_united = 0    
6      // Result 39, the length of candidate_united = 6    
0      // Result 40, the length of candidate_united = 0    
4      // Result 41, the length of candidate_united = 4    
5      // Result 42, the length of candidate_united = 5    
0      // Result 43, the length of candidate_united = 0    
0      // Result 44, the length of candidate_united = 0    
8      // Result 45, the length of candidate_united = 8    
0      // Result 46, the length of candidate_united = 0    
9      // Result 47, the length of candidate_united = 9    
0      // Result 48, the length of candidate_united = 0    
5      // Result 49, the length of candidate_united = 5    
5      // Result 50, the length of candidate_united = 5    
5      // Result 51, the length of candidate_united = 5    
0      // Result 52, the length of candidate_united = 0    
4      // Result 53, the length of candidate_united = 4    
0      // Result 54, the length of candidate_united = 0    
6      // Result 55, the length of candidate_united = 6    
C      // Result 56, the length of candidate_united = 12    
0      // Result 57, the length of candidate_united = 0    
2      // Result 58, the length of candidate_united = 2    
2      // Result 59, the length of candidate_united = 2    
0      // Result 60, the length of candidate_united = 0    
0      // Result 61, the length of candidate_united = 0    
0      // Result 62, the length of candidate_united = 0    
0      // Result 63, the length of candidate_united = 0    
